measurement,measurement_2,class
62969,31979,seven
74375,28125,seven
60312,22292,seven
61302,29323,seven
70469,37864,seven
75625,37240,seven
63542,32656,seven
64427,31667,seven
77552,21927,seven
57396,33437,seven
49063,34636,seven
63020,39687,seven
58646,35208,seven
60000,35416,seven
85833,37708,seven
56563,28073,seven
72761,39948,seven
66927,30885,seven
71615,38802,seven
61719,31302,seven
160469,49375,seven
46302,30678,seven
67604,32187,seven
65104,30104,seven
74479,31355,seven
60677,35678,seven
64739,29479,seven
54271,29062,seven
50000,20000,seven
53802,30416,seven
61875,31146,seven
64115,38854,seven
55834,31093,seven
54948,29271,seven
66875,38646,seven
79010,47656,seven
48750,28229,seven
77761,36042,seven
83437,38542,seven
72760,40312,seven
74114,46771,seven
67135,33802,seven
70157,39479,seven
63333,413229,seven
55000,31354,seven
22343,31562,seven
61094,30260,seven
65417,30677,seven
71458,41302,seven
60260,21041,seven
62969,28750,seven
60729,22552,seven
76511,41250,seven
64583,39010,seven
75833,36823,seven
71146,38385,seven
67917,34063,seven
79167,35729,seven
67865,35938,seven
67396,39896,seven
73385,38594,seven
68333,31667,seven
20833,28802,seven
66666,37916,seven
65729,39010,seven
78020,46928,seven
70834,38073,seven
71510,38178,seven
68438,39948,seven
83437,45469,seven
70260,38021,seven
69584,38333,seven
65052,38541,seven
65260,31510,seven
76666,37917,seven
100364,41302,seven
69323,24844,seven
72083,42865,seven
73489,38073,seven
68334,39948,seven
78803,41146,seven
84219,47708,seven
64427,34636,seven
70990,40209,seven
65781,38594,seven
69427,40365,seven
74219,38542,seven
66354,40886,seven
69115,36875,seven
76145,52709,seven
77865,46614,seven
63438,40260,seven
77813,44531,seven
59115,21771,seven
71771,32969,seven
71563,31719,seven
71667,40312,seven
67605,38333,seven
116198,75833,seven
102344,79375,seven
90052,37552,seven
82969,40938,seven
85364,52552,seven
10938,32031,seven
75157,40416,seven
79114,29479,seven
78021,52812,seven
81875,39635,seven
76146,35937,seven
73906,37135,seven
80520,29271,seven
63281,40625,seven
70208,38594,seven
60729,21927,seven
67656,40156,seven
52760,28750,seven
109063,35469,seven
69428,37500,seven
94688,57917,seven
71718,31719,seven
73281,37656,seven
59635,34479,seven
75937,37656,seven
63489,29896,seven
83594,40000,seven
66198,38281,seven
70000,40730,seven
13489,31198,seven
73177,42813,seven
66041,38646,seven
69479,40521,seven
71511,40312,seven
57083,29531,seven
80052,53750,seven
66250,30990,seven
82500,39375,seven
75416,40364,seven
112448,21459,seven
67708,37031,seven
71562,38073,seven
78021,39687,seven
57916,30573,seven
71042,38437,seven
70521,38854,seven
64323,29167,seven
74114,40000,seven
84323,37812,seven
71875,38854,seven
67969,39948,seven
78802,55885,eight
22344,89323,eight
96927,70521,eight
90313,256666,eight
101459,66666,eight
107292,62864,eight
9896,67864,eight
212552,79583,eight
93229,56771,eight
105104,67292,eight
96407,63177,eight
78073,56927,eight
106094,67864,eight
117395,67031,eight
91250,55104,eight
91615,70104,eight
92240,46979,eight
82812,55521,eight
87552,56562,eight
92656,58594,eight
95261,59375,eight
103073,61927,eight
89063,53177,eight
94218,62396,eight
77239,49427,eight
89532,53385,eight
100312,64739,eight
10886,62500,eight
71355,49844,eight
78125,43594,eight
94688,54219,eight
95521,63698,eight
111146,62812,eight
141041,96250,eight
136407,95573,eight
135626,95730,eight
124948,79635,eight
97917,59115,eight
76719,44844,eight
104167,54792,eight
84636,145573,eight
95677,66927,eight
144011,101042,eight
102657,60938,eight
100469,56667,eight
77031,47396,eight
61927,71614,eight
95781,59635,eight
97813,66927,eight
89323,56771,eight
103958,63073,eight
96875,63385,eight
83229,50313,eight
135313,86771,eight
100416,66510,eight
19636,44740,eight
90937,46563,eight
104011,77812,eight
80364,48229,eight
90208,54896,eight
85572,56406,eight
81875,51094,eight
103854,59219,eight
82031,53698,eight
103177,67708,eight
82709,47813,eight
87917,48750,eight
96719,50417,eight
84896,41250,eight
104375,66406,eight
89322,53906,eight
151823,53438,eight
145573,110052,eight
90052,54011,eight
101771,62969,eight
97813,62761,eight
92188,40000,eight
111771,55313,eight
132083,96615,eight
103073,75000,eight
89115,54688,eight
97136,66667,eight
93542,61407,eight
93698,66250,eight
109531,69687,eight
83438,55469,eight
73594,50625,eight
89166,64948,eight
95105,63490,eight
99895,60209,eight
147656,113438,eight
103854,62760,eight
87136,53438,eight
96823,68177,eight
111718,76510,eight
108177,73958,eight
109375,21094,eight
109115,62031,eight
104636,71094,eight
141094,111094,eight
103073,70521,eight
107968,70885,eight
99896,63750,eight
106146,73229,eight
97969,58073,eight
128438,74427,eight
110312,62500,eight
113282,74583,eight
107916,74479,eight
135625,94792,eight
98021,74219,eight
102239,72135,eight
96979,70104,eight
113646,71198,eight
111719,73125,eight
86614,54219,eight
100989,65625,eight
104531,66302,eight
113021,72552,eight
106927,71875,eight
100209,64219,eight
105105,72240,eight
108750,66875,eight
21771,75990,eight
109063,67916,eight
106510,72135,eight
108021,72343,eight
104791,70625,eight
109635,63229,eight
23438,75886,eight
104584,76302,eight
144740,115261,eight
113125,72656,eight
105157,70989,eight
86094,55208,eight
100469,43438,eight
81458,63386,eight
121562,62604,eight
114844,72344,eight
113490,59740,eight
119948,65469,eight
108489,64792,eight
112344,70781,eight
